area_id,level,x_min_dxf_mm,y_min_dxf_mm,x_max_dxf_mm,y_max_dxf_mm,line_h_count,line_v_count,cross3_count,cross4_count,task_ids
A-L0-A01,0,20332.54,10195.1,21772.54,11150.13,2,2,0,1,A-T00012;A-T00013;A-T00297;A-VLOW-21593;A-CROSS4-21593-10950
A-L0-A02,0,21772.54,10870.1,23212.54,11030.1,2,0,0,0,A-T00014;A-T00015
A-L0-A03,0,23132.54,10870.1,24012.54,11030.1,1,0,0,0,A-T00016
A-L0-A04,0,23932.54,10135.1,25372.54,11210.13,2,2,0,1,A-T00017;A-T00018;A-T00314;A-VLOW-24113;A-CROSS4-24113-10950
A-L0-A05,0,25372.54,10135.1,26812.54,11210.13,2,2,0,1,A-T00019;A-T00020;A-T00331;A-VLOW-26633;A-CROSS4-26633-10950
A-L0-A06,0,26812.54,10870.1,28252.54,11030.1,2,0,0,0,A-T00021;A-T00022
A-L0-A07,0,28252.54,10135.1,29692.54,11210.13,2,2,0,1,A-T00023;A-T00024;A-T00348;A-VLOW-29153;A-CROSS4-29153-10950
A-L0-A08,0,29612.54,10870.1,30492.54,11030.1,1,0,0,0,A-T00025
A-L1-A01,1,16817.59,13930.13,17892.54,14810.13,1,1,1,0,A-T00063;A-T00277;A-CROSS3-16898-14190
A-L1-A02,1,17812.54,13930.13,19252.54,14810.13,2,1,0,1,A-T00064;A-T00065;A-T00286;A-CROSS4-19073-14190
A-L1-A03,1,19252.54,14110.1,20692.54,14270.1,2,0,0,0,A-T00066;A-T00067
A-L1-A04,1,20692.54,13930.13,22132.54,14810.13,2,1,0,1,A-T00068;A-T00069;A-T00302;A-CROSS4-21593-14190
A-L1-A05,1,22052.54,14110.1,22932.54,14270.1,1,0,0,0,A-T00070
A-L1-A06,1,22852.54,13930.13,24292.54,14810.13,2,1,0,1,A-T00071;A-T00072;A-T00319;A-CROSS4-24113-14190
A-L1-A07,1,24292.54,14110.1,25732.54,14270.1,2,0,0,0,A-T00073;A-T00074
A-L1-A08,1,25732.54,13930.13,27172.54,14810.13,2,1,0,1,A-T00075;A-T00076;A-T00336;A-CROSS4-26633-14190
A-L1-A09,1,27092.54,14110.1,27972.54,14270.1,1,0,0,0,A-T00077
A-L1-A10,1,27892.54,13930.13,29332.54,14810.13,2,1,0,1,A-T00078;A-T00079;A-T00353;A-CROSS4-29153-14190
A-L1-A11,1,29332.54,14110.1,30772.54,14270.1,2,0,0,0,A-T00080;A-T00081
A-L1-A12,1,30772.54,13930.13,32212.54,14810.13,2,1,0,1,A-T00082;A-T00083;A-T00368;A-CROSS4-31673-14190
A-L1-A13,1,32132.54,14110.1,33012.54,14270.1,1,0,0,0,A-T00084
A-L1-A14,1,32852.54,13930.13,33927.59,14810.13,1,1,1,0,A-T00085;A-T00377;A-CROSS3-33848-14190
